taxa	HCC118	HCC121	HCC108	HCC119	HCC111	HCC103	HCC126	HCC113	HCC117	HCC106	HCC120	HCC124	HCC122	HCC107	HCC109	HCC125	HCC115	HCC114	HCC102	combined	HCC110	HCC101	HCC116	HCC112	HCC105	HCC123	HCC104	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.51759	1.91111	0.62878	1.79065	2.52477	1.32734	1.02589	0.52308	1.30343	1.34067	0.34939	1.17466	1.70329	0.47955	0.60394	3.27291	1.80587	0.30872	0.56738	1.91111	1.24864	1.08349	1.37554	1.57027	1.81035	3.07763	0.52225	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	11.25204	10.3643	1.23235	7.62931	13.2496	4.38443	5.56775	0.59773	19.90669	5.74571	2.2955	22.2056	5.74827	2.58495	4.03185	20.77563	0	0.22201	2.85214	10.3643	4.04444	9.45033	0	4.36501	14.58941	41.07403	3.01959	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	48.50652	8.22303	55.50829	29.84851	39.80293	75.46909	67.63775	41.8075	17.39547	78.3728	79.59101	51.77489	11.88025	65.35523	72.38643	25.69796	91.32174	88.36054	76.02267	8.22303	58.87447	24.66175	92.03344	78.59698	21.28864	22.14578	62.66817	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	47.42674	4.38494	50.22062	28.29994	38.72243	72.29451	64.9964	38.92466	17.02134	74.79318	74.82594	50.55417	0.95744	63.16664	69.0741	25.0643	86.11772	84.4769	71.2548	0	53.3764	22.7885	86.49293	76.05969	20.18935	21.6964	59.36973	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas	6.23701	0.63679	4.54377	4.85191	2.90216	6.64773	0	16.82784	12.50795	5.74428	1.41732	0.00537	0	8.60831	4.8714	0	0	2.05812	5.53627	0.63679	3.45584	16.41968	0	0.52979	27.8874	0.00635	13.44013	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0	0	0.01903	0.00469	0	0.01567	0.00355	0	0.00046	0.00896	0.0039	0.00425	0.03558	0.00276	0.00853	0	0.00696	0.00348	0.03302	0	0.01336	0.01113	0.01966	0.00755	0.00221	0	0.01908	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri	0.2108	0.1353	0.07184	0.13898	0.24924	0.01702	1.09931	0	0.37463	0.00276	0.04367	3.9415	0.19872	0.12937	0.02396	5.05719	0	0	0.01773	0.1353	0.02448	0.17121	0	0.05015	0.0948	4.09891	0.00485	
k__Bacteria|p__Actinobacteria	5.6896	14.53852	0.85152	5.37555	7.62334	2.307	5.07745	0.81712	7.55539	1.93999	1.17576	7.34876	15.70914	0.72302	1.04504	12.4123	2.17477	0.33086	1.23107	14.53852	2.04362	2.88941	1.64775	4.13042	3.12499	12.15823	1.20087	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas_muris	6.23701	0.63679	4.54377	4.85191	2.90216	6.64773	0	16.82784	12.50795	5.74428	1.41732	0.00537	0	8.60831	4.8714	0	0	2.05812	5.53627	0.63679	3.45584	16.41968	0	0.52979	27.8874	0.00635	13.44013	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_1_3	0.08437	0.06563	0.8032	0.11964	0.15969	0.0578	0.47626	0.36323	0.03663	0.08294	0.22538	0.01281	0.07209	0.35703	0.30204	0.05509	0.06524	0.41517	0.27869	0.06563	0.4544	0.19435	0.14364	0.46599	0.0092	0.00378	0.16637	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	11.92871	3.96348	2.20501	42.23206	15.64367	0.01	2.75233	0.42023	29.97625	0	8.66418	0.0346	3.25674	2.73965	6.36308	5.58845	0.001	0.14937	0.01686	3.96348	14.7598	0.14541	0.00626	5.10069	0	0.05244	0	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	12.80729	30.16754	34.38669	7.86762	15.98418	10.37115	11.84458	38.74051	5.85958	7.10253	5.71412	5.09394	29.11551	17.55968	9.85977	11.38397	4.69226	8.73154	13.03562	30.16754	15.68753	40.86257	3.51378	6.43843	29.30769	8.78613	18.49261	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	6.23701	0.63679	4.54377	4.85191	2.90216	6.64773	0	16.82784	12.50795	5.74428	1.41732	0.00537	0	8.60831	4.8714	0	0	2.05812	5.53627	0.63679	3.45584	16.41968	0	0.52979	27.8874	0.00635	13.44013	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_1	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0.00107	0.00248	0	0	0.00104	0	0	0	0	0.00344	0	0	0.00075	0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.08437	0.06563	0.8032	0.11964	0.15969	0.0578	0.47626	0.36323	0.03663	0.08294	0.22538	0.01281	0.07209	0.35703	0.30204	0.05509	0.06524	0.41517	0.27869	0.06563	0.4544	0.19435	0.14364	0.46599	0.0092	0.00378	0.16637	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	11.92871	3.96348	2.20501	42.23206	15.64367	0.01	2.75233	0.42023	29.97625	0	8.66418	0.0346	3.25674	2.73965	6.36308	5.58845	0.001	0.14937	0.01686	3.96348	14.7598	0.14541	0.00626	5.10069	0	0.05244	0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0.79122	2.7545	3.60667	1.19776	0.84159	2.83528	1.74419	2.48032	0.26723	3.2942	4.08198	0.95886	7.16658	1.54001	2.81977	0.34136	2.55858	3.29958	4.1429	2.7545	4.47975	1.35025	3.53244	1.89041	0.89915	0.31747	2.90318	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0.01482	0	0.07431	0.01258	0.02725	0.2473	0.00712	0	0.00161	0.16541	0.01754	0.02642	0.0296	0.0258	0.01008	0	0.04974	0.01352	0.19287	0	0.06492	0.00637	0.06957	0.09455	0.00091	0	0.21771	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae_complex	0	0	0	0	0	0	0	0.05956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0	0	0	0.00838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	1.63067	0.4066	0.27945	1.24625	1.91376	0.08563	0.41532	0.16838	3.63675	0.52131	0.73774	0.08709	0.77567	0.28157	1.05125	1.35004	1.46281	0.03901	0.33568	0.4066	0.70631	2.47184	2.32765	0.2172	1.72734	0.14695	0.22582	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	1.63067	0.4066	0.27945	1.24625	1.91376	0.08563	0.41532	0.16838	3.63675	0.52131	0.73774	0.08709	0.77567	0.28157	1.05125	1.35004	1.46281	0.03901	0.33568	0.4066	0.70631	2.47184	2.32765	0.2172	1.72734	0.14695	0.22582	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	1.9421	31.69973	0.97388	0.93427	2.88037	0.7093	6.70127	0.56114	3.15882	0.56442	0.40049	13.44549	33.47884	2.13129	0.38266	22.79166	0.33114	0.10507	0.93666	31.69973	0.41462	3.08789	0.37061	0.61394	2.07234	15.6301	0.93374	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_sp_G3_2012	0.79122	2.7545	3.60667	1.19776	0.84159	2.82519	1.74419	2.48032	0.26723	3.2942	4.08198	0.95886	7.16658	1.54001	2.81977	0.34136	2.55858	3.29958	4.1429	2.7545	4.47975	1.35025	3.53244	1.89041	0.89915	0.31747	2.90318	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0	0	0.00838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	5.172	12.62741	0.22274	3.5849	5.09857	0.97965	4.05156	0.29405	6.25195	0.59932	0.82637	6.1741	14.00585	0.24347	0.4411	9.13939	0.3689	0.02214	0.66369	12.62741	0.79498	1.80591	0.27221	2.56015	1.31464	9.08061	0.67862	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0.00607	0	0	0.00145	0	0	0	0	0.00264	0	0	0	0	0.01355	0	0	0.00931	0	0	0	0	0	0.08086	0	0	0	0	
k__Bacteria|p__Verrucomicrobia	11.92871	3.96348	2.20501	42.23206	15.64367	0.01	2.75233	0.42023	29.97625	0	8.66418	0.0346	3.25674	2.73965	6.36308	5.58845	0.001	0.14937	0.01686	3.96348	14.7598	0.14541	0.00626	5.10069	0	0.05244	0	
k__Bacteria|p__Firmicutes|c__Clostridia	48.50652	8.22303	55.50829	29.84851	39.80293	75.46909	67.63775	41.8075	17.39547	78.3728	79.59101	51.77489	11.88025	65.35523	72.38643	25.69796	91.32174	88.36054	76.02267	8.22303	58.87447	24.66175	92.03344	78.59698	21.28864	22.14578	62.66817	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	1.63067	0.4066	0.27945	1.24625	1.91376	0.08563	0.41532	0.16838	3.63675	0.52131	0.73774	0.08709	0.77567	0.28157	1.05125	1.35004	1.46281	0.03901	0.33568	0.4066	0.70631	2.47184	2.32765	0.2172	1.72734	0.14695	0.22582	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_28_4	44.97234	4.38494	47.23138	27.87285	38.51003	71.98902	64.8643	36.86135	16.4268	74.54539	71.66718	50.43933	0.52781	60.66362	65.16432	25.03547	85.93478	81.84529	70.9639	4.38494	49.61952	22.76453	86.1584	75.58249	20.17031	21.6726	59.08362	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	6.23701	0.63679	4.54377	4.85191	2.90216	6.64773	0	16.82784	12.50795	5.74428	1.41732	0.00537	0	8.60831	4.8714	0	0	2.05812	5.53627	0.63679	3.45584	16.41968	0	0.52979	27.8874	0.00635	13.44013	
k__Bacteria|p__Firmicutes|c__Bacilli	3.57883	32.10633	1.25333	2.19035	4.79413	0.79492	7.11659	0.72951	6.79821	1.08573	1.13823	13.53258	34.25451	2.42641	1.43391	24.1417	1.80327	0.14408	1.27235	32.10633	1.12094	5.55973	2.77911	0.83114	3.79968	15.77704	1.15956	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_sciuri	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01355	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	11.25204	10.3643	1.23235	7.62931	13.2496	4.38443	5.56775	0.59773	19.90669	5.74571	2.2955	22.2056	5.74827	2.58495	4.03185	20.77563	0	0.22201	2.85214	10.3643	4.04444	9.45033	0	4.36501	14.58941	41.07403	3.01959	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	5.172	12.62741	0.22274	3.5849	5.09857	0.97965	4.05156	0.29405	6.25195	0.59932	0.82637	6.1741	14.00585	0.24347	0.4411	9.13939	0.3689	0.02214	0.66369	12.62741	0.79498	1.80591	0.27221	2.56015	1.31464	9.08061	0.67862	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus	0.00534	0.02033	0	0.01723	0.02671	0.00845	0.00834	0	0.01477	0.00772	0	0.01203	0.02936	0.00421	0	0.0339	0.01401	0	0	0.02033	0.0056	0.01032	0.00881	0.01413	0.01053	0.02686	0	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	11.25204	10.3643	1.23235	7.62931	13.2496	4.38443	5.56775	0.59773	19.90669	5.74571	2.2955	22.2056	5.74827	2.58495	4.03185	20.77563	0	0.22201	2.85214	10.3643	4.04444	9.45033	0	4.36501	14.58941	41.07403	3.01959	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus	0.00607	0	0	0.00145	0	0	0	0	0.00264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium_DSM_103720	0.00703	14.59513	12.61636	0.00229	10.03899	3.20492	4.38002	23.32871	0.00223	1.8094	0.01427	2.08269	14.7489	6.04888	5.49678	4.17629	0.67661	5.3618	3.3164	14.59513	9.41245	13.28292	0.39162	3.4386	8.05159	4.56004	5.09329	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.02588	0	0.3718	0.01044	0.14164	0.03119	0.03011	0.0804	0.01924	0.06003	0.05074	0.0189	0.10711	0.09365	0.39254	0.00649	0.03449	0.36898	0.04857	0	1.18256	0.01121	0.03777	0.37951	0.01826	0.00663	0.03503	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_M18_1	0.01465	0	0	0.0182	0	0.05583	0.08809	0	0.00788	0.08518	0.0369	0.07704	0.29229	0	0	0.02094	0.06743	0	0.08643	0	0	0	0.22285	0	0	0.01083	0.0525	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	12.80729	30.16754	34.38669	7.86762	15.98418	10.37115	11.84458	38.74051	5.85958	7.10253	5.71412	5.09394	29.11551	17.55968	9.85977	11.38397	4.69226	8.73154	13.03562	30.16754	15.68753	40.86257	3.51378	6.43843	29.30769	8.78613	18.49261	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified	0.00703	14.59513	12.61636	0.00229	10.03899	3.20492	4.38002	23.32871	0.00223	1.8094	0.01427	2.08269	14.7489	6.04888	5.49678	4.17629	0.67661	5.3618	3.3164	14.59513	9.41245	13.28292	0.39162	3.4386	8.05159	4.56004	5.09329	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified	0	0	0.01903	0.00469	0	0.01567	0.00355	0	0.00046	0.00896	0.0039	0.00425	0.03558	0.00276	0.00853	0	0.00696	0.00348	0.03302	0	0.01336	0.01113	0.01966	0.00755	0.00221	0	0.01908	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.08437	0.06563	0.8032	0.11964	0.15969	0.0578	0.47626	0.36323	0.03663	0.08294	0.22538	0.01281	0.07209	0.35703	0.30204	0.05509	0.06524	0.41517	0.27869	0.06563	0.4544	0.19435	0.14364	0.46599	0.0092	0.00378	0.16637	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor	0	0	0	0	0	0.18898	0	0	0	0.06599	0	0	0	0.00148	0.01729	0	0	0.01949	0.10504	0	0.01404	0.01275	0	0.01872	0	0	0.18244	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Acutalibacter	0.18937	1.01795	0.79788	0.21858	0.05197	0.02087	0.41379	0.03929	0.06866	0.0177	0.44017	0.22263	3.65455	0.18906	0.17716	0.2372	0.09156	0.1526	0.10682	1.01795	0.49901	0.07134	0.09772	0.08634	0.01172	0.12813	0.00086	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0	0	0	0	0	0	0	0.05956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	5.172	12.62741	0.22274	3.5849	5.09857	0.97965	4.05156	0.29405	6.25195	0.59932	0.82637	6.1741	14.00585	0.24347	0.4411	9.13939	0.3689	0.02214	0.66369	12.62741	0.79498	1.80591	0.27221	2.56015	1.31464	9.08061	0.67862	
